[(7, 3), (20, 5), (20, 1)], [], [242, 76]
[(8, 3), (20, 5), (20, 1)], [], [250, 76]
[(8, 3), (20, 5), (20, 1)], [], [248, 76]
[(8, 3), (20, 5), (20, 1)], [], [248, 74]
[(8, 3), (20, 5), (20, 1)], [], [248, 74]
[(8, 3), (20, 5), (20, 1)], [], [248, 74]
[(9, 3), (20, 5), (20, 1)], [], [256, 74]
[(9, 3), (20, 5), (20, 1)], [], [254, 74]
[(9, 3), (20, 5), (20, 1)], [], [254, 72]
[(9, 3), (20, 5), (20, 1)], [], [254, 72]
[(9, 3), (20, 5), (20, 1)], [], [254, 72]
[(10, 3), (20, 5), (20, 1)], [], [262, 72]
[(10, 3), (20, 5), (20, 1)], [], [260, 72]
[(10, 3), (20, 5), (20, 1)], [], [260, 70]
[(10, 3), (20, 5), (20, 1)], [], [260, 70]
[(10, 3), (20, 5), (20, 1)], [], [260, 70]
[(11, 3), (20, 5), (20, 1)], [], [268, 70]
[(11, 3), (20, 5), (20, 1)], [], [266, 70]
[(11, 3), (20, 5), (20, 1)], [], [266, 68]
[(11, 3), (20, 5), (20, 1)], [], [266, 68]
[(11, 3), (20, 5), (20, 1)], [], [266, 68]
[(12, 3), (20, 5), (20, 1)], [], [274, 68]
[(12, 3), (20, 5), (20, 1)], [], [272, 68]
[(12, 3), (20, 5), (20, 1)], [], [272, 66]
[(12, 3), (20, 5), (20, 1)], [], [272, 66]
[(12, 3), (20, 5), (20, 1)], [], [272, 66]
[(13, 3), (20, 5), (20, 1)], [], [270, 66]
[(13, 3), (20, 5), (20, 1)], [], [268, 66]
[(13, 3), (20, 5), (20, 2)], [], [268, 64]
[(13, 3), (20, 5), (20, 2)], [], [268, 64]
[(13, 3), (20, 5), (20, 2)], [], [268, 64]
[(14, 3), (20, 5), (20, 2)], [], [266, 64]
[(14, 3), (20, 5), (20, 2)], [], [264, 64]
[(14, 3), (20, 5), (20, 3)], [], [264, 62]
[(14, 3), (20, 5), (20, 3)], [], [264, 62]
[(14, 3), (20, 5), (20, 3)], [], [264, 62]
[(14, 4), (20, 5), (20, 3)], [], [262, 62]
[(14, 4), (20, 5), (20, 3)], [], [260, 62]
[(14, 4), (20, 5), (20, 3)], [], [260, 60]
[(14, 4), (20, 5), (20, 3)], [], [260, 60]
[(14, 4), (20, 5), (20, 3)], [], [260, 60]
[(15, 4), (20, 5), (20, 3)], [], [268, 60]
[(15, 4), (20, 4), (20, 3)], [], [276, 60]
[(15, 4), (20, 4), (20, 2)], [], [276, 58]
[(15, 4), (20, 4), (20, 2)], [], [276, 58]
[(15, 4), (20, 4), (20, 2)], [], [276, 58]
[(16, 4), (20, 4), (20, 2)], [], [284, 58]
[(16, 4), (20, 3), (20, 2)], [], [282, 58]
[(16, 4), (20, 3), (20, 1)], [], [282, 56]
[(16, 4), (20, 3), (20, 1)], [], [282, 56]
[(16, 4), (20, 3), (20, 1)], [], [282, 56]
All food consumed! Scores: [790, 56]
